Кодзима - ...?|гений
Чемпион мира по футболу 1930 года|уругвай
Чемпион мира по футболу 1934 года|италия
Чемпион мира по футболу 1938 года|италия
Чемпион мира по футболу 1950 года|уругвай
Чемпион мира по футболу 1954 года|фрг
Чемпион мира по футболу 1958 года|бразилия
Чемпион мира по футболу 1962 года|бразилия
Чемпион мира по футболу 1966 года|англия
Чемпион мира по футболу 1970 года|бразилия
Чемпион мира по футболу 1974 года|фрг
Чемпион мира по футболу 1978 года|аргентина
Чемпион мира по футболу 1982 года|италия
Чемпион мира по футболу 1986 года|аргентина
Чемпион мира по футболу 1990 года|фрг
Чемпион мира по футболу 1994 года|бразилия
Чемпион мира по футболу 1998 года|франция
Чемпион мира по футболу 2002 года|бразилия
Чемпион мира по футболу 2006 года|италия
Чемпион мира по футболу 2010 года|испания
Чемпион мира по футболу 2014 года|германия
Чемпион мира по футболу 2018 года|франция
Финалист чемпионата мира по футболу 1930 года|аргентина
Финалист чемпионата мира по футболу 1934 года|чехословакия
Финалист чемпионата мира по футболу 1938 года|венгрия
Финалист чемпионата мира по футболу 1950 года|бразилия
Финалист чемпионата мира по футболу 1954 года|венгрия
Финалист чемпионата мира по футболу 1958 года|швеция
Финалист чемпионата мира по футболу 1962 года|чехословакия
Финалист чемпионата мира по футболу 1966 года|фрг
Финалист чемпионата мира по футболу 1970 года|италия
Финалист чемпионата мира по футболу 1974 года|нидерланды
Финалист чемпионата мира по футболу 1978 года|нидерланды
Финалист чемпионата мира по футболу 1982 года|фрг
Финалист чемпионата мира по футболу 1986 года|фрг
Финалист чемпионата мира по футболу 1990 года|аргентина
Финалист чемпионата мира по футболу 1994 года|италия
Финалист чемпионата мира по футболу 1998 года|бразилия
Финалист чемпионата мира по футболу 2002 года|германия
Финалист чемпионата мира по футболу 2006 года|франция
Финалист чемпионата мира по футболу 2010 года|нидерланды
Финалист чемпионата мира по футболу 2014 года|аргентина
Финалист чемпионата мира по футболу 2018 года|хорватия
Место проведения чемпионата мира по футболу 1930 года|уругвай
Место проведения чемпионата мира по футболу 1934 года|италия
Место проведения чемпионата мира по футболу 1938 года|франция
Место проведения чемпионата мира по футболу 1950 года|бразилия
Место проведения чемпионата мира по футболу 1954 года|швейцария
Место проведения чемпионата мира по футболу 1958 года|швеция
Место проведения чемпионата мира по футболу 1962 года|чили
Место проведения чемпионата мира по футболу 1966 года|англия
Место проведения чемпионата мира по футболу 1970 года|мексика
Место проведения чемпионата мира по футболу 1974 года|фрг
Место проведения чемпионата мира по футболу 1978 года|аргентина
Место проведения чемпионата мира по футболу 1982 года|испания
Место проведения чемпионата мира по футболу 1986 года|мексика
Место проведения чемпионата мира по футболу 1990 года|италия
Место проведения чемпионата мира по футболу 1994 года|сша
Место проведения чемпионата мира по футболу 1998 года|франция
Место проведения чемпионата мира по футболу 2006 года|германия
Место проведения чемпионата мира по футболу 2010 года|юар
Место проведения чемпионата мира по футболу 2014 года|бразилия
Место проведения чемпионата мира по футболу 2018 года|россия
Место проведения чемпионата мира по футболу 2022 года|катар
Победитель Лиги Чемпионов 2000/01|бавария
Финалист Лиги Чемпионов 2000/01|валенсия
Победитель Лиги Чемпионов 2001/02|реал мадрид
Финалист Лиги Чемпионов 2001/02|байер
Победитель Лиги Чемпионов 2002/03|милан
Финалист Лиги Чемпионов 2002/03|ювентус
Победитель Лиги Чемпионов 2003/04|порту
Финалист Лиги Чемпионов 2003/04|монако
Победитель Лиги Чемпионов 2004/05|ливерпуль
Финалист Лиги Чемпионов 2004/05|милан
Победитель Лиги Чемпионов 2005/06|барселона
Финалист Лиги Чемпионов 2005/06|арсенал
Победитель Лиги Чемпионов 2006/07|милан
Финалист Лиги Чемпионов 2006/07|ливерпуль
Победитель Лиги Чемпионов 2007/08|манчестер юнайтед
Финалист Лиги Чемпионов 2007/08|челси
Победитель Лиги Чемпионов 2008/09|барселона
Финалист Лиги Чемпионов 2008/09|манчестер юнайтед
Победитель Лиги Чемпионов 2009/10|интер
Финалист Лиги Чемпионов 2009/10|бавария
Победитель Лиги Чемпионов 2010/11|барселона
Финалист Лиги Чемпионов 2010/11|манчестер юнайтед
Победитель Лиги Чемпионов 2011/12|челси
Финалист Лиги Чемпионов 2011/12|бавария
Победитель Лиги Чемпионов 2012/13|бавария
Финалист Лиги Чемпионов 2012/13|боруссия дортмунд
Победитель Лиги Чемпионов 2013/14|реал мадрид
Финалист Лиги Чемпионов 2013/14|атлетико мадрид
Победитель Лиги Чемпионов 2014/15|барселона
Финалист Лиги Чемпионов 2014/15|ювентус
Победитель Лиги Чемпионов 2015/16|реал мадрид
Финалист Лиги Чемпионов 2015/16|атлетико мадрид
Победитель Лиги Чемпионов 2016/17|реал мадрид
Финалист Лиги Чемпионов 2016/17|ювентус
Победитель Лиги Чемпионов 2017/18|реал мадрид
Финалист Лиги Чемпионов 2017/18|ливерпуль
Победитель Лиги Чемпионов 2018/19|ливерпуль
Финалист Лиги Чемпионов 2018/19|тоттенхэм
Лучший бомбардир Лиги Чемпионов 2000/01|рауль
Лучший бомбардир Лиги Чемпионов 2001/02|ван нистелрой
Лучший бомбардир Лиги Чемпионов 2002/03|ван нистелрой
Лучший бомбардир Лиги Чемпионов 2003/04|морьентес
Лучший бомбардир Лиги Чемпионов 2004/05|ван нистелрой
Лучший бомбардир Лиги Чемпионов 2005/06|шевченко
Лучший бомбардир Лиги Чемпионов 2006/07|кака
Лучший бомбардир Лиги Чемпионов 2007/08|роналду
Лучший бомбардир Лиги Чемпионов 2008/09|месси
Лучший бомбардир Лиги Чемпионов 2009/10|месси
Лучший бомбардир Лиги Чемпионов 2010/11|месси
Лучший бомбардир Лиги Чемпионов 2011/12|месси
Лучший бомбардир Лиги Чемпионов 2012/13|роналду
Лучший бомбардир Лиги Чемпионов 2013/14|роналду
Лучший бомбардир Лиги Чемпионов 2015/16|роналду
Лучший бомбардир Лиги Чемпионов 2016/17|роналду
Лучший бомбардир Лиги Чемпионов 2017/18|роналду
Лучший бомбардир Лиги Чемпионов 2018/19|месси
Лучший бомбардир Чемпионата мира по футболу 1966 года|эйсебио
Лучший бомбардир Чемпионата мира по футболу 1970 года|мюллер
Лучший бомбардир Чемпионата мира по футболу 1974 года|лято
Лучший бомбардир Чемпионата мира по футболу 1978 года|кемпес
Лучший бомбардир Чемпионата мира по футболу 1982 года|росси
Лучший бомбардир Чемпионата мира по футболу 1986 года|линекер
Лучший бомбардир Чемпионата мира по футболу 1990 года|скиллачи
Лучший бомбардир Чемпионата мира по футболу 1998 года|шукер
Лучший бомбардир Чемпионата мира по футболу 2002 года|роналдо
Лучший бомбардир Чемпионата мира по футболу 2006 года|клозе
Лучший бомбардир Чемпионата мира по футболу 2014 года|хамес
Лучший бомбардир Чемпионата мира по футболу 2018 года|кейн
Единственная страна, принявшая участие во всех чемпионатах мирах по футболу|бразилия
Какой клуб в XX веке 5 раз подряд побеждал в Лиге Чемпионов?|реал мадрид
Клуб-победитель первого розыгрыша чемпионата СССР по футболу?|динамо москва
Кто является лучшим бомбардиром в истории сборной РФ по футболу?|кержаков
Какую команду санкт-петербургский Зенит обыграл в финале Кубка УЕФА 2008?|рейнджерс
Как называется гол, забитый игроком в ворота своей команды?|автогол
Кто из футболистов утверждал, что «играть надо ногами, а думать – головой»?|пеле
Правила об этом виде специальных ударов в футболе приняли в 1891 году.|пенальти
Сборная какой страны выигрывала Чемпионат мира по футболу чаще других?|бразилия
Вес – от 396 до 453 г, окружность – от 680 до 710 мм, диаметр – от 216,3 до 226 мм. Что это?|футбольный мяч
Самый старый футбольный клуб|шеффилд
80% футбольных мячей производится в этой стране|пакистан
Этот привычный глазу атрибут футбольной формы появился лишь в 1946 году.|номер
Единственный в мире футболист, который завоевал звание чемпиона мира как капитан сборной и как ее тренер.|беккенбауэр
Рекордсмен по количеству голов, забитых в течение одного финального турнира чемпионата мира|фонтен
Только этому футболисту посчастливилось принять непосредственное участие в финальных матчах трех ЧМ подряд.|кафу
Клубы только этих двух советских республик из пятнадцати ни разу не играли в Высшей лиге Чемпионата СССР|киргизия туркмения
Сборные этих не существующих ныне стран разыграли первый Кубок Европы в финальном матче 1960 г.|ссср югославия
(1801-48), рос. композитор, певец романсов "Вдоль по улице метелица метет", "Красный сарафан", "На заре ты ее не буди".?|варламов
(увелич.) идол (божество)?|идолище
(уменьш.) комар, насекомое?|комарик
... - это способ тратить деньги без всякого удовольствия. (Арман Салакру)?|экономия
... - это хорошо загримированное китайское?|японское
... - это хорошо похудевшее толстое?|тонкое
... - это хорошо проспавшееся пьяное?|трезвое
... - это шестое чувство, без которого остальные пять бесполезны. (Сомерсет Моэм)?|деньги
... в тумане?|ежик
... до ушей, хоть завязочки пришей?|рот
... и бобер (басня С. Михалкова)?|заяц
... натрия используют как консервант пищевых продуктов?|бензоат
... не бывает без огня?|дыма
... небес (хит группы "Технология")?|телефон
... просят ботинки, у которых подошва держится на честном слове (о чем речь?)?|каши
... солнечной долины - кинофильм с участием знаменитого джаз-оркестра Гленна Миллера?|привет
... сто - так называлось в XII-XV веках в Новгороде объединение купцов, торговавших воском вокруг церкви Ивана Предтечи?|иванское
... страстного увлечения скоро проходит, остаются цепи и здравый рассудок (Фраза Паратова в "Бесприданнице" А. Островского)?|угар
... судьбы называют того, к кому фортуна ни разу не поворачивалась задом (о ком речь?)?|баловень
... холодной воды окатывают того, кого сражают неприятным известием (тара из выражения)?|ушат
...-бурум (слово, делающее эту "абракадабру" синонимом беспорядка и суматохи)?|шурум
...Мартурано - пьеса Эдуарде де Филиппе?|мартурано
...-самогуды (сказочный инструмент, не нуждающийся в исполнителе)?|гусли
...собака рычит, когда сердится, и виляет хвостом, когда радуется. Она, как мы условились, нормальная. А я? Я ворчу, когда мне приятно, и виляю хвостом, когда злюсь. Вывод: я - ненормальный. Кто же сделал такой вывод?|чеширский кот
Добрая ... бежит, а худая - летит>. О чем речь в поговорке?|слава
0,1 морской мили, или 185,2 м?|кабельтов
1/32 компаса?|румб
1/4 часть круга?|квадрант
100 градусов по Фаренгейту - это ... градусов по Цельсию?|37,8
11-я по величине пустыня мира в Средней Азии?|кызылкум
12 дюжин (число 144)?|гросс
150-летие этого сплава техники и искусства отмечалось в 1988 году. Это ... ?|фотография
16-й президент США, принял закон об отмене рабства (1809-65); марка автомобиля?|линкольн
2 в степени 10?|1024 
2 в степени 16?|65536
23-й президент США (годы жизни 1833-1901, годы президенства 1889-1893, республиканец)?|гаррисон
240 из 450-ти сортов сыра известных в мире выпускается в стране ... ?|франция
3.14159 более известно как?|пи
34-й президент США (годы жизни 1890-1969, годы президенства 1953-1961, республиканец)?|эйзенхауэр
35-й президент США (1961-63), от Демократической партии?|кеннеди
365 дней 5 часов ... минут 45.51 секунда. Это точная протяженность года. А сколько минут?|48
38-й президент США (родился в 1913, годы президенства 1974-1977, республиканец)?|форд
39-й президент США (родился в 1924, годы президенства 1977-1981, демократ)?|картер
3D шутер|quake
3евс, обратившись в быка, на себе увез ... ?|европу
4 июня 1888 г конгресс штата Нью-Йорк принял билль об упразднении казни через повешение. Что послужило причиной для этого гуманного акта?|электрический стул
41-й президент США (родился в 1924, годы президенства 1989-1993, республиканец)?|буш
42-й президент США (родился в 1946, годы президенства 1993-2000, демократ)?|клинтон
4-й чемпион мира по шахматам?|алехин
4-сложный стих?|пеон
4-стишие сонета?|катрен
a(b+c)=ab+ac - это свойство ...?|дистрибутивности
Cпортсмен, как правило, в возрасте 19-22 лет?|юниор
Flash BIOS от компании Chaintech Computer служит для защиты BIOS от ... ?|вирусов
Homo homini lupus est. Эта латинская пословица означает: "... человеку - волк"?|человек
Hе каждый, кто знает слишком много, знает ... ?|об этом
Intel Pentium III принадлежит к ... поколению процессоров (цифра прописью)?|четвертому
Kто был одним из "отцов" Козьмы Петровича Пруткова?|толстой
Sex Pistols - панк, Depeche Mode - техно, Metallica - металл, Nirvana - ...?|гранж
The lease - это ... ?|аренда
X?|икс
А не в амперах ли измеряется сила тока?|да
А плясать злее меня нет в Москве!- похвалялся этот герой романа "Петр I" А. Толстого?|меншиков
А у индейцев все девки - ...! (Н. Фоменко)?|красные
А что, отец - спросил Бендер, - невесты у вас в городе есть? -Кому и ... невеста ?|кобыла
А. И. Лебедь как-то сказал: "Генерал - демократ, это все равно, что ... "?|еврей-оленевод
А.Герцен: "Всего меньше эгоизма у ... "?|раба
АББА- шведская поп-группа, возникла в ... ?|1973
Абебе Бикила стал Олимпийским чемпионом по бегу, поразив всех тем, что прошел дистанцию ?|босиком
Абрикосы, высушенные целыми, с косточками?|урюк
Абсолютный ноль температуры по шкале Цельсия?|-273,15
Абсурдная .. человечества обличена голландским художником Брейгелем Старшим на картине "Игры детей"?|суета
Авиарейс вне расписания?|чартер
Австралийский сумчатый медведь, живет на деревьях?|коала
Австрийский писатель и философ (1883-1924). В своих произведениях в поэтической притчеобразной форме воплотил мотив трагического бессилия человека перед абсурдностью мира. Это Франц ... ?|кафка
Австрийский футбольный клуб?|рапид
Автop повeсти o Томe Сойере?|марк твен
Автоpитетный воp-pецидивист, стоящий во главе пpеступной гpуппы?|князь
Автобусный и троллейбусный билет на месяц?|проездной
Автомат, управляющий самолётом?|автопилот
Автономия России?|тува
Автономия России?|хакасия
Автономная область на юге страны (административный центр - г. Севилья)?|андалусия
Автоподъемник?|домкрат
Автор "Горя от ума"?|грибоедов
Автор балета "Дон Кихот"?|минкус
Автор драматического произведения "Моцарт и Сальери"?|пушкин
Автор знаменитого девиза "Бороться и искать, найти и не сдаваться!"?|теннисон
Автор и ведущий телепрограммы, которая по его словам "даже идя из гостей, идет в гости"?|кизяков
Автор и исполнитель песен "Господа офицеры", "Москва"?|газманов
Автор картины "Грот в Сорренто с видом на Везувий"?|щедрин
Автор классического образца заумного языка: "Дыр бул щыл убещур..." - Велемир ... ?|хлебников
Автор книги "Борис Ельцин: от рассвета до заката"?|коржаков
Автор книги "Брестская крепость"?|смирнов
Автор книги ''Борис Ельцин: от рассвета до заката''?|коржаков
Автор музыки к кинофильмам "Кавказская пленница", "Бриллиантовая рука"?|зацепин
Автор повести "Последние залпы", романа "Горячий снег" (экранизированы)?|бондарев
Автор повести о Томе Сойере?|твен
Автор поэмы "Теогония" о происхождении греческих богов?|гесиод
Автор произведения "Сказка о царе Салтане"?|пушкин
Автор произведения "Скупой рыцарь"?|пушкин
Автор пьесы по мотивом которой снят фильм "Иван Васильевич меняет профессию"?|михаил булгаков
Автор романа "Робинзон Крузо"?|дефо
Автор сочинения "Так говорил Заратустра"?|ницше
Автор стихов "У природы нет плохой погоды"?|рязанов
Автор сценария к кинофильму "Волга-Волга"?|эрдман
Автор телепередачи "Кто там..." на канале "Культура"?|верник
Автор толкового словаря живого великорусского русского языка?|даль
Автор экранизированного романа "Змеелов"?|карелин
Автор этой фразы епископ Жером де Анже, а известной всем она стала благодаря Франсуа Рабле: "... приходит во время еды"?|аппетит
Автор, у кого впервые прозвучало выражение "Из прекрасного далека"?|гоголь
Авторское право?|копирайт
Автострада, железная дорога?|магистраль
Автотрасса, проезжая часть?|дорога
Агрессия германии против СССР 1941 год?|барбаросс
Агрессия германии против СССР 1941 год?|барбаросса
Адм.-тер.единица ,подразделение уезда в России?|волость
Админ.-территор. единица Российской империи?|весь
Административно-учебное управление факультета?|деканат
Адмирал Ветлугин из повести К.Станюковича "Грозный адмирал" приходится автору ... ?|отцом
Ажурная машинная вышивка?|ришелье
Азиaтский oрoситeльный канaл?|водкой
Азиатский домашний скот, выведенный из индийского тура. (Лама, Зебу, Зубр, Лаху)?|зебу
Азиатский мыслитель, автор рассуждения: "Побороть дурные привычки легче сегодня, чем завтра"?|конфуций
Азиатский оросительный канал?|арык
Азотное удобрение, NH4H2PO4 и (NH4)2HPO4 :)?|аммофос
Аквариумная рыбка длиной до 6 см. Родина - в пресных водах Южной Америки?|гуппи 
Акт выcшeгo оpгана гocyдapcтвеннoй влaсти|закон
Актер - герой лучших вестернов 60-х годов, обладатель множества оскаров и режиссер фильма "Непрощенный". Увлекается гольфом, владеет рестораном "Гольф", а также выпускает спортивную одежду под маркой TEHAMA?|иствуд
Актер , любитель "Красоток" и проституток?|гир
Актер , совладелец сети ресторанов "Планета Голливуд"?|сталлоне
Актер театра и кино, исполнитель роли Мюллера в телесериале "Семнадцать мгновений весны"?|броневой
Актер, исполнивший роль Штирлица в фильме "Семнадцать мгновений весны"?|тихонов
Актер, исполнитель роли Малдера в сериале "X-Files" и фильме "Эволюция"?|дэвид духовны
Актер, которого хватило только на "9 1/2 недель"?|рурк
Актер, который снимался в главной роли в фильме "Конвой"?|беренджер
Актер, у героя которого Шариков в Домкоме взял 7 рублей "на покупку учебников"?|карцев
Актер-суперзвезда "Бетмэн", "Сияние", "Волк"?|николсон
Актеры груз. нар. театра масок?|берике
Активный сторонник учения?|апологет
Активный сторонник учения?|дзюдо
Актриса вахтанговской школы, исполнившая роль Настасьи Филипповны в спектакле театра и в фильме И. Пырьева "Идиот"?|минорская
Актриса, снимавшаяся в телефильме "Операция"Трест"?|касаткина
Актриса, ставшая известной после выхода на экран фильма "Шербурские зонтики"?|денев
Акттер который сыграл Анискина?|жаров
Алексей Орлов прислал Екатерине Второй записку, в которой признается в его убийстве, что снимает с Екатерины подозрения в нем. Кто жн он?|петр третий
Алкоголик?|пьяница
Аллигаторова груша - вечнозеленое дерево семейства лавровых со съедобными плодами?|авокадо
Алмаз, принадлежавший Людовику XV, который Наполеон велел вправить в эфес своей шпаги?|регент
Алмазное украшение, из-за которого разгорелся сыр-бор в "Трех мушкетерах"?|подвески
Алмазное украшение, из-за которого разгорелся сыр-бор в "Трех мушкетерах"?|подвески
Алое полотнище?|кумач
Альтернативные источники энергии - энергия ветра, солнечная, ... ?|приливов
Альфа , а дальше?|бета
Амазонский речной дельфин?|иния
Амер. полицейский?|коп
Амер. ферма?|ранчо
Амер.физик,Нобелевск.лауреат 1952 г.?|парселл
Америка?|сша
Американец, ставший чемпионом Олимпийских игр?|льюис
Американец, суперзвезда мировой эстрады?|джексон
Американск. музыкальный еженедельник?|биллборд
Американска оружейная фирма?|винчестер
Американская киноактриса Норма Бейкер больше была известна под именем?|мэрилин монро
Американская межпланетная станция?|викинг
Американский астронавт, магистр наук?|андерс 
Американский астроном (1889 - 1953). Доказал звездную природу внегалактических туманностей, установил закономерность разлета галактик. В его честь назван американский космический телескоп. Кто он?|хаббл
Американский бальный танец?|твист
Американский генетик и вирусолог. Нобелевская премия (1969, совместно с М. Дельбрюком и С. Э. Лурия).?|херши
Американский инженер, специалист в области электроники (Hewlett-Packard)?|хьюлетт
Американский Калашников?|кольт
Американский луноход?|ровер
Американский певец Стинг в начале песни "Русские" использовал голос ... ?|кириллова
Американский писатель XIX века, автор романа "последний из могикан"?|купер
Американский писатель, зачинатель американского романтизма, автор жизнеописаний Колумба, Вашингтона.|ирвинг
Американский режиссер и актер, "заполонивший" экраны "Криминальным чтивом"?|тарантино
Американский спортсмен легкоатлет, многократный чемпион мира в беге на короткие дистанции?|льюис
Американский физик и физикохимик (1881-1957, Нобелевск.премия 1932)?|ленгмюр
Американский физик, лауреат Нобелевской премии?|вильсон
Американский физик. Нобелевская премия (1907).?|майкельсон
Американский философ-основоположник современной модальной логики?|льюис
Американский фильм "Некоторые любят погорячее" в отечественном прокате назывался ...?|в джазе только девушки
Американский химик, Нобелевская премия 1983?|таубе
Американский химик. Нобелевская премия (1979, совместно с Г. Виттигом).?|браун
Американский штат?|каролина
Американский экс-министр и миллионер, не сумевший снять гостиничный номер в Ленинграде?|твистер
Американский экс-чемпион мира по шахматам?|фишер
Американское лото?|бинго
Американское "детище" на каждом московском углу, которому порадовался бы генсек Хрущев?|попкорн
Американцы назвали ее "Самой противной" первой леди США ХХ века?|нэнси рейган
Анаграмма - недавняя знаменитость: ЬЕНЛИЦ?|ельцин
Аналогом нашего Люцифера в Исламе является?|иблис
Анатолий Кролл возглавил Государственный эстрадный оркестр Узбекистана в ... лет?|17
Анатоль Франс сформулировал так называемый "закон интереса": "Чтобы переварить знания, надо поглощать их с ..." . Конец фразы?|аппетитом
Ангиолог внимательно изучает ... ?|сосуды
Англ. ветеринарный врач и писатель?|херриот
Англ. философ, логик, математик. Нобелевская премия по литературе (1950).?|рассел
Английская борзая?|грейхаунд
Английская политическая партия, прародительница нынешней консервативной.|тори
Английская политическая партия, прародительница нынешней консервативной?|тори
Английский мореплаватель 16 века?|дрейк
Английский пивной бар?|паб
Английский писатель. Роман "Эвфуэс и его Англия"?|лили
Английский полководец и государственный деятель. В войне против Наполеона I командовал английскими войсками на Пиренейском полуострове и в битве при Ватерлоо?|веллингтон
Английский путешественник Ватсон сказал, что если вы побыли там шесть недель - вы все понимаете. Через шесть месяцев вы начнете сомневаться. Через шесть лет вы ни в чем не уверены. Что это за страна?|япония
Английский рок-музыкант, бывший лидер группы "Genesis"?|питер габриэль
Английский ученый, лауреат Нобелевской премии по экономике?|стоун
Английский юморист Джером Капка Джером написал "Трое в лодке, не считая ..."?|собаки
Английское Т?|ти
Англичане его пьют горячим?|грог
Англичанин, слывущий предшественником декадентства?|куинси
Андрей Черкизов на НТВ ведет программу ... ?|час быка
Анекдот: "Что нужно хохлу привязать к телевизионной антенне, чтобы ловить все каналы вещания"?|шмат сала
Анонимку чаще всего подписывает ... ?|доброжелатель
Ансамбль музыкантов?|секстет
Ансамбль из 4 исполнителей?|квартет
Антагонист Вовочки?|учитель
Антипод лета?|зима
Античная квадрига - это ... ?|колесница
Антон Палыч Чехов однажды заметил, что "умный любит учиться, а дурак ... "?|учить
Антоним аромат?|вонь
Антоним бардак, беспорядок?|порядок
Антоним близости?|дальность
Антоним будущий?|прошлый
Антоним взлет?|посадка
Антоним все?|никто
Антоним пасмурный?|ясный
Антоним раздевать?|одевать
Антоним сокращение?|продление
Анчоус?|хамса
